"","Var1","Freq"
"2","iPhone",8211
"3","Case",6412
"4","for",3528
"5","Plus",2401
"6","Cover",2191
"7","7",1960
"8","6",1862
"9","with",1638
"10","8",1554
"11","Soft",1449
"12","TPU",1372
"13","5",1351
"14","Slim",1344
"15","Clear",1330
"16","Bumper",1155
"17","Xs",1043
"18","Black",1029
"19","Silicone",1008
"20","Apple",994
"21","Compatible",917
"22","6s",903
"23","Protective",889
"24","Phone",875
"25","Back",756
"26","and",742
"27","Rubber",742
"28","Shockproof",735
"29","X",728
"30","Shock",679
"31","Anti",630
"32","Scratch",595
"33","Absorption",567
"34","inch",539
"35","XR",539
"36","Designed",532
"37","Design",518
"38","Fit",511
"39","2018",504
"40","Flexible",504
"41","4",497
"42","Marble",483
"43","6S",455
"44","Gold",455
"45","Hard",455
"46","Max",448
"47","Hybrid",434
"48","case",385
"49","Matte",378
"50","Screen",378
"51","SE",378
"52","Packaging",371
"53","Rose",364
"54","Layer",343
"55","Glass",336
"56","JAHOLAN",336
"57","JETech",336
"58","OtterBox",336
"59","Spigen",336
"60","TORRAS",336
"61","ULAK",336
"62","Amever",329
"63","Protector",329
"64","Ailun",322
"65","Dual",322
"66","Retail",322
"67","Ultra",322
"68","2",315
"69","Floral",315
"70","Logitech",315
"71","Tempered",315
"72","Series",308
"73","2017",294
"74","Inch",287
"75","Thin",280
"76","Metal",273
"77","1",266
"78","5s",266
"79","Cute",259
"80","Pattern",252
"81","Wallet",252
"82","Resistant",245
"83","Heavy",238
"84","Girls",231
"85","LUOLNH",231
"86","VIVIBIN",231
"87","Women",231
"88","5S",224
"89","Aluminum",224
"90","Armor",224
"91","Duty",224
"92","Proof",224
"93","Best",217
"94","Leather",217
"95","Skin",217
"96","Arae",210
"97","PC",210
"98","iPad",203
"99","Liquid",203
"100","Kickstand",196
"101","Purple",196
"102","Blue",189
"103","Flower",182
"104","Full",182
"105","Keyboard",182
"106","Protection",182
"107","White",182
"108","Gel",175
"109","ID",175
"110","Pack",175
"111","PU",175
"112","Red",175
"113","Crystal",168
"114","SERIES",168
"115","HD",161
"116","Pink",161
"117","2016",154
"118","Credit",154
"119","3",147
"120","Flowers",147
"121","Frame",147
"122","Grey",147
"123","Shell",147
"124","Solid",147
"125","Waterproof",147
"126","Flip",140
"127","Galaxy",140
"128","Strap",140
"129","Card",133
"130","Glossy",133
"131","Folio",126
"132","in",126
"133","Microfiber",126
"134","Water",126
"135","Cushion",119
"136","Feature",112
"137","luolnh",112
"138","Plastic",112
"139","Stand",112
"140","Wrist",112
"141","Carbon",105
"142","Friendly",105
"143","Military",105
"144","Amusing",98
"145","Drop",98
"146","Fiber",98
"147","Non",98
"148","Pockets",98
"149","Rugged",98
"150","Shiny",98
"151","Whimsical",98
"152","Air",91
"153","Bluetooth",91
"154","Edge",91
"155","Glitter",91
"156","Multi",91
"157","Tough",91
"158","Wireless",91
"159","5D",84
"160","BLACK",84
"161","Body",84
"162","Holder",84
"163","Lining",84
"164","Oil",84
"165","ONLY",84
"166","Package",84
"167","Premium",84
"168","Chrome",77
"169","Cloth",77
"170","Fingerprint",77
"171","Free",77
"172","Frustration",77
"173","Love",77
"174","Slip",77
"175","Slots",77
"176","Xr",77
"177","5C",70
"178","Cactus",70
"179","Film",70
"180","Girl",70
"181","Grip",70
"182","Mint",70
"183","Pocket",70
"184","Reinforced",70
"185","Renewed",70
"186","Ring",70
"187","Siania",70
"188","Acrylic",63
"189","Cards",63
"190","DEFENDER",63
"191","Dust",63
"192","Extreme",63
"193","Finish",63
"194","Light",63
"195","Outdoor",63
"196","Samsung",63
"197","Stain",63
"198","Symmetry",63
"199","SYMMETRY",63
"200","Defender",56
"201","Durable",56
"202","Geometric",56
"203","MAX",56
"204","Pineapple",56
"205","Se",56
"206","XS",56
"207","Absorbent",49
"208","Bling",49
"209","Built",49
"210","Bulk",49
"211","Dirt",49
"212","Edition",49
"213","Green",49
"214","Gunmetal",49
"215","LG",49
"216","Mini",49
"217","NOT",49
"218","Skid",49
"219","Space",49
"220","Speaker",49
"221","Sport",49
"222","Transparent",49
"223","Wildflower",49
"224","Yellow",49
"225","0",42
"226","2015",42
"227","BLUE",42
"228","Coating",42
"229","Color",42
"230","COMMUTER",42
"231","Device",42
"232","G7",42
"233","Generation",42
"234","Lemon",42
"235","Limited",42
"236","Magnetic",42
"237","Mandala",42
"238","Men",42
"239","mini",42
"240","Mobile",42
